Scientific_Name,Common_Name,name,label,Indicator_Status
Crataegus viridis,Green Hawthorn,Crataegus viridis,Crataegus viridis - Green Hawthorn,FAC
Crepis capillaris,Smooth Hawk's-Beard,Crepis capillaris,Crepis capillaris - Smooth Hawk's Beard,UPL
Crepis runcinata,Fiddle-Leaf Hawk's-Beard,Crepis runcinata,Crepis runcinata - Fiddle Leaf Hawk's Beard,FAC
Cressa nudicaulis,Naked-Stem Alkali-Weed,Cressa nudicaulis,Cressa nudicaulis - Naked Stem Alkali Weed,OBL
Cressa truxillensis,Spreading Alkali-Weed,Cressa truxillensis,Cressa truxillensis - Spreading Alkali Weed,FACW
Crocosmia X crocosmiiflora,,Crocosmia X crocosmiiflora,Crocosmia X crocosmiiflora,FACW
Croptilon divaricatum,Slender Scratchdaisy,Croptilon divaricatum,Croptilon divaricatum - Slender Scratchdaisy,FACU
Crotalaria incana,Shakeshake,Crotalaria incana,Crotalaria incana - Shakeshake,FACU
Crotalaria retusa,Rattleweed,Crotalaria retusa,Crotalaria retusa - Rattleweed,UPL
Crotalaria spectabilis,Showy Rattlebox,Crotalaria spectabilis,Crotalaria spectabilis - Showy Rattlebox,FACU
Crypsis alopecuroides,Fox-Tail Prickle Grass,Crypsis alopecuroides,Crypsis alopecuroides - Fox Tail Prickle Grass,FACW
Crypsis schoenoides,Swamp Prickle Grass,Crypsis schoenoides,Crypsis schoenoides - Swamp Prickle Grass,OBL
Cryptocoryne beckettii,Beckett's Water-Trumpet,Cryptocoryne beckettii,Cryptocoryne beckettii - Beckett's Water Trumpet,OBL
Cryptostegia grandiflora,Palay Rubbervine,Cryptostegia grandiflora,Cryptostegia grandiflora - Palay Rubbervine,FACU
Cryptotaenia canadensis,Canadian Honewort,Cryptotaenia canadensis,Cryptotaenia canadensis - Canadian Honewort,FAC
Cuphea carthagenensis,Colombian Waxweed,Cuphea carthagenensis,Cuphea carthagenensis - Colombian Waxweed,FAC
Cuphea glutinosa,Sticky Waxweed,Cuphea glutinosa,Cuphea glutinosa - Sticky Waxweed,FACU
Cuphea viscosissima,Blue Waxweed,Cuphea viscosissima,Cuphea viscosissima - Blue Waxweed,FAC
Cyclachaena xanthiifolia,Carelessweed,Cyclachaena xanthiifolia,Cyclachaena xanthiifolia - Carelessweed,FAC
Cycloloma atriplicifolium,Winged-Pigweed,Cycloloma atriplicifolium,Cycloloma atriplicifolium - Winged Pigweed,FACU
Cyclospermum leptophyllum,Marsh-Parsley,Cyclospermum leptophyllum,Cyclospermum leptophyllum - Marsh Parsley,FAC
Cynanchum laeve,Honeyvine,Cynanchum laeve,Cynanchum laeve - Honeyvine,FAC
Cynodon dactylon,Bermuda Grass,Cynodon dactylon,Cynodon dactylon - Bermuda Grass,FACU
Cynodon nlemfuensis,Antelope Grass,Cynodon nlemfuensis,Cynodon nlemfuensis - Antelope Grass,UPL
Cynoglossum officinale,Gypsy-Flower,Cynoglossum officinale,Cynoglossum officinale - Gypsy Flower,FACU
Cynosciadium digitatum,Finger-Dogshade,Cynosciadium digitatum,Cynosciadium digitatum - Finger Dogshade,FACW
Cynosurus cristatus,Crested Dog's-Tail Grass,Cynosurus cristatus,Cynosurus cristatus - Crested Dog's Tail Grass,FACU
Cyperus acuminatus,Taper-Tip Flat Sedge,Cyperus acuminatus,Cyperus acuminatus - Taper Tip Flat Sedge,OBL
Cyperus aggregatus,Inflated-Scale Flat Sedge,Cyperus aggregatus,Cyperus aggregatus - Inflated Scale Flat Sedge,FAC
Cyperus articulatus,Jointed Flat Sedge,Cyperus articulatus,Cyperus articulatus - Jointed Flat Sedge,OBL
Cyperus bipartitus,Shining Flat Sedge,Cyperus bipartitus,Cyperus bipartitus - Shining Flat Sedge,FACW
Cyperus compressus,Poorland Flat Sedge,Cyperus compressus,Cyperus compressus - Poorland Flat Sedge,FACW
Cyperus croceus,Baldwin's Flat Sedge,Cyperus croceus,Cyperus croceus - Baldwin's Flat Sedge,FAC
Cyperus diandrus,Umbrella Flat Sedge,Cyperus diandrus,Cyperus diandrus - Umbrella Flat Sedge,FACW
Cyperus difformis,Variable Flat Sedge,Cyperus difformis,Cyperus difformis - Variable Flat Sedge,OBL
Cyperus digitatus,Finger Flat Sedge,Cyperus digitatus,Cyperus digitatus - Finger Flat Sedge,FACW
Cyperus drummondii,Drummond's Sedge,Cyperus drummondii,Cyperus drummondii - Drummond's Sedge,OBL
Cyperus echinatus,Globe Flat Sedge,Cyperus echinatus,Cyperus echinatus - Globe Flat Sedge,FAC
Cyperus elegans,Royal Flat Sedge,Cyperus elegans,Cyperus elegans - Royal Flat Sedge,FACW
Cyperus entrerianus,Woodrush Flat Sedge,Cyperus entrerianus,Cyperus entrerianus - Woodrush Flat Sedge,FACW
Cyperus eragrostis,Tall Flat Sedge,Cyperus eragrostis,Cyperus eragrostis - Tall Flat Sedge,FACW
Cyperus erythrorhizos,Red-Root Flat Sedge,Cyperus erythrorhizos,Cyperus erythrorhizos - Red Root Flat Sedge,OBL
Cyperus esculentus,Chufa,Cyperus esculentus,Cyperus esculentus - Chufa,FACW
Cyperus fendlerianus,Fendler's Flat Sedge,Cyperus fendlerianus,Cyperus fendlerianus - Fendler's Flat Sedge,FAC
Cyperus flavescens,Yellow Flat Sedge,Cyperus flavescens,Cyperus flavescens - Yellow Flat Sedge,OBL
Cyperus flavicomus,White-Edge Flat Sedge,Cyperus flavicomus,Cyperus flavicomus - White Edge Flat Sedge,FAC
Cyperus fuscus,Galingale,Cyperus fuscus,Cyperus fuscus - Galingale,FACW
Cyperus haspan,Sheathed Flat Sedge,Cyperus haspan,Cyperus haspan - Sheathed Flat Sedge,OBL
Cyperus hermaphroditus,Hermaphrodite Flat Sedge,Cyperus hermaphroditus,Cyperus hermaphroditus - Hermaphrodite Flat Sedge,FACU
Cyperus involucratus,Alternate-Leaf Flat Sedge,Cyperus involucratus,Cyperus involucratus - Alternate Leaf Flat Sedge,FACW
Cyperus iria,Ricefield Flat Sedge,Cyperus iria,Cyperus iria - Ricefield Flat Sedge,FACW
Cyperus laevigatus,Smooth Flat Sedge,Cyperus laevigatus,Cyperus laevigatus - Smooth Flat Sedge,FAC
Cyperus lanceolatus,Epiphytic Flat Sedge,Cyperus lanceolatus,Cyperus lanceolatus - Epiphytic Flat Sedge,FACW
Cyperus lupulinus,Great Plains Flat Sedge,Cyperus lupulinus,Cyperus lupulinus - Great Plains Flat Sedge,FACU
Cyperus niger,Black Flat Sedge,Cyperus niger,Cyperus niger - Black Flat Sedge,FACW
Cyperus ochraceus,Pond Flat Sedge,Cyperus ochraceus,Cyperus ochraceus - Pond Flat Sedge,FACW
Cyperus odoratus,Rusty Flat Sedge,Cyperus odoratus,Cyperus odoratus - Rusty Flat Sedge,FACW
Cyperus onerosus,Plains Flat Sedge,Cyperus onerosus,Cyperus onerosus - Plains Flat Sedge,FACW
Cyperus oxylepis,Sharp-Scale Flat Sedge,Cyperus oxylepis,Cyperus oxylepis - Sharp Scale Flat Sedge,FACW
Cyperus parishii,Parish's Flat Sedge,Cyperus parishii,Cyperus parishii - Parish's Flat Sedge,FACW
Cyperus polystachyos,Many-Spike Flat Sedge,Cyperus polystachyos,Cyperus polystachyos - Many Spike Flat Sedge,FACW
Cyperus pseudovegetus,Marsh Flat Sedge,Cyperus pseudovegetus,Cyperus pseudovegetus - Marsh Flat Sedge,FACW
Cyperus reflexus,Bent-Awn Flat Sedge,Cyperus reflexus,Cyperus reflexus - Bent Awn Flat Sedge,FAC
Cyperus retrofractus,Rough Flat Sedge,Cyperus retrofractus,Cyperus retrofractus - Rough Flat Sedge,UPL
Cyperus retrorsus,Pine-Barren Flat Sedge,Cyperus retrorsus,Cyperus retrorsus - Pine Barren Flat Sedge,FAC
Cyperus rotundus,Purple Flat Sedge,Cyperus rotundus,Cyperus rotundus - Purple Flat Sedge,FAC
Cyperus schweinitzii,Sand Flat Sedge,Cyperus schweinitzii,Cyperus schweinitzii - Sand Flat Sedge,FACU
Cyperus seslerioides,Texas Flat Sedge,Cyperus seslerioides,Cyperus seslerioides - Texas Flat Sedge,FAC
Cyperus setigerus,Lean Flat Sedge,Cyperus setigerus,Cyperus setigerus - Lean Flat Sedge,FAC
Cyperus squarrosus,Awned Flat Sedge,Cyperus squarrosus,Cyperus squarrosus - Awned Flat Sedge,OBL
Cyperus strigosus,Straw-Color Flat Sedge,Cyperus strigosus,Cyperus strigosus - Straw Color Flat Sedge,FACW
Cyperus surinamensis,Tropical Flat Sedge,Cyperus surinamensis,Cyperus surinamensis - Tropical Flat Sedge,FACW
Cyperus tetragonus,Four-Angle Flat Sedge,Cyperus tetragonus,Cyperus tetragonus - Four Angle Flat Sedge,FAC
Cyperus thyrsiflorus,Southern Flat Sedge,Cyperus thyrsiflorus,Cyperus thyrsiflorus - Southern Flat Sedge,FAC
Cyperus virens,Green Flat Sedge,Cyperus virens,Cyperus virens - Green Flat Sedge,FACW
Cypripedium acaule,Pink Lady's-Slipper,Cypripedium acaule,Cypripedium acaule - Pink Lady's Slipper,FACW
Cypripedium arietinum,Ram-Head Lady's-Slipper,Cypripedium arietinum,Cypripedium arietinum - Ram Head Lady's Slipper,FACW
Cypripedium candidum,Small White Lady's-Slipper,Cypripedium candidum,Cypripedium candidum - Small White Lady's Slipper,OBL
Cypripedium parviflorum,Yellow Lady's-Slipper,Cypripedium parviflorum,Cypripedium parviflorum - Yellow Lady's Slipper,FACW
Cypripedium reginae,Showy Lady's-Slipper,Cypripedium reginae,Cypripedium reginae - Showy Lady's Slipper,FACW
Cypripedium X andrewsii,,Cypripedium X andrewsii,Cypripedium X andrewsii,FACW
Cyrilla racemiflora,Little-Leaf Titi,Cyrilla racemiflora,Cyrilla racemiflora - Little Leaf Titi,FACW
Cyrtorhyncha cymbalaria,Alkali Buttercup,Cyrtorhyncha cymbalaria,Cyrtorhyncha cymbalaria - Alkali Buttercup,OBL
Cyrtorhyncha ranunculina,Tadpole Alkali Buttercup,Cyrtorhyncha ranunculina,Cyrtorhyncha ranunculina - Tadpole Alkali Buttercup,FAC
Cystopteris bulbifera,Bulblet Bladder Fern,Cystopteris bulbifera,Cystopteris bulbifera - Bulblet Bladder Fern,FACW
Cystopteris fragilis,Brittle Bladder Fern,Cystopteris fragilis,Cystopteris fragilis - Brittle Bladder Fern,FACU
Cystopteris protrusa,Lowland Bladder Fern,Cystopteris protrusa,Cystopteris protrusa - Lowland Bladder Fern,FACW
Dactylis glomerata,Orchard Grass,Dactylis glomerata,Dactylis glomerata - Orchard Grass,FACU
Dalea leporina,Fox-Tail Prairie-Clover,Dalea leporina,Dalea leporina - Fox Tail Prairie Clover,UPL
Danthonia californica,California Wild Oat Grass,Danthonia californica,Danthonia californica - California Wild Oat Grass,FACU
Danthonia intermedia,Timber Wild Oat Grass,Danthonia intermedia,Danthonia intermedia - Timber Wild Oat Grass,FAC
Dasiphora fruticosa,Golden-Hardhack,Dasiphora fruticosa,Dasiphora fruticosa - Golden Hardhack,FACW
Dasistoma macrophylla,Mullein-Foxglove,Dasistoma macrophylla,Dasistoma macrophylla - Mullein Foxglove,FAC
Datura wrightii,Sacred Thorn-Apple,Datura wrightii,Datura wrightii - Sacred Thorn Apple,UPL
Daucus carota,Queen Anne's-Lace,Daucus carota,Daucus carota - Queen Anne's Lace,UPL
Decodon verticillatus,Swamp-Loosestrife,Decodon verticillatus,Decodon verticillatus - Swamp Loosestrife,OBL
Delphinium barbeyi,Subalpine Larkspur,Delphinium barbeyi,Delphinium barbeyi - Subalpine Larkspur,FAC
Delphinium geraniifolium,Clark Valley Larkspur,Delphinium geraniifolium,Delphinium geraniifolium - Clark Valley Larkspur,FAC
Delphinium glaucescens,Electric Peak Larkspur,Delphinium glaucescens,Delphinium glaucescens - Electric Peak Larkspur,FACU
Delphinium glaucum,Tower Larkspur,Delphinium glaucum,Delphinium glaucum - Tower Larkspur,FACW
Delphinium nuttallianum,Two-Lobe Larkspur,Delphinium nuttallianum,Delphinium nuttallianum - Two Lobe Larkspur,FACU
Delphinium sapellonis,Sapello Canyon Larkspur,Delphinium sapellonis,Delphinium sapellonis - Sapello Canyon Larkspur,FAC
Delphinium scopulorum,Rocky Mountain Larkspur,Delphinium scopulorum,Delphinium scopulorum - Rocky Mountain Larkspur,FAC
Delphinium X burkei,,Delphinium X burkei,Delphinium X burkei,FACU
Delphinium X occidentale,,Delphinium X occidentale,Delphinium X occidentale,UPL
Dendrolycopodium dendroideum,Prickley Tree-Club-Moss,Dendrolycopodium dendroideum,Dendrolycopodium dendroideum - Prickley Tree Club Moss,FAC
Dendrolycopodium obscurum,Princess-Pine,Dendrolycopodium obscurum,Dendrolycopodium obscurum - Princess Pine,FACU
Deschampsia brevifolia,Short-Leaf Hair Grass,Deschampsia brevifolia,Deschampsia brevifolia - Short Leaf Hair Grass,FACW
Deschampsia caespitosa,Tufted Hair Grass,Deschampsia caespitosa,Deschampsia caespitosa - Tufted Hair Grass,FACW
Deschampsia danthonioides,Annual Hair Grass,Deschampsia danthonioides,Deschampsia danthonioides - Annual Hair Grass,FACW
Deschampsia elongata,Slender Hair Grass,Deschampsia elongata,Deschampsia elongata - Slender Hair Grass,FAC
Deschampsia flexuosa,Wavy Hair Grass,Deschampsia flexuosa,Deschampsia flexuosa - Wavy Hair Grass,UPL
Descurainia adenophora,,Descurainia adenophora,Descurainia adenophora,FACU
Descurainia incana,Mountain Tansy-Mustard,Descurainia incana,Descurainia incana - Mountain Tansy Mustard,UPL
Desmanthus illinoensis,Prairie Bundle-Flower,Desmanthus illinoensis,Desmanthus illinoensis - Prairie Bundle Flower,FACU
Desmanthus virgatus,Wild Tantan,Desmanthus virgatus,Desmanthus virgatus - Wild Tantan,FACU
Desmodium canadense,Showy Tick-Trefoil,Desmodium canadense,Desmodium canadense - Showy Tick Trefoil,FAC
Desmodium incanum,Zarzabacoa-Comun,Desmodium incanum,Desmodium incanum - Zarzabacoa Comun,FAC
Desmodium paniculatum,Panicled-Leaf Tick-Trefoil,Desmodium paniculatum,Desmodium paniculatum - Panicled Leaf Tick Trefoil,UPL
Desmodium scorpiurus,Scorpion Tick-Trefoil,Desmodium scorpiurus,Desmodium scorpiurus - Scorpion Tick Trefoil,FACU
Desmodium tortuosum,Dixie Tick-Trefoil,Desmodium tortuosum,Desmodium tortuosum - Dixie Tick Trefoil,FACU
Dianthus armeria,Deptford Pink,Dianthus armeria,Dianthus armeria - Deptford Pink,UPL
Dianthus deltoides,Maiden Pink,Dianthus deltoides,Dianthus deltoides - Maiden Pink,UPL
Diarrhena obovata,Hairy Beakgrain,Diarrhena obovata,Diarrhena obovata - Hairy Beakgrain,FAC
Dichanthelium aciculare,Needle-Leaf Rosette Grass,Dichanthelium aciculare,Dichanthelium aciculare - Needle Leaf Rosette Grass,FACU
Dichanthelium acuminatum,Tapered Rosette Grass,Dichanthelium acuminatum,Dichanthelium acuminatum - Tapered Rosette Grass,FAC
Dichanthelium boreale,Northern Rosette Grass,Dichanthelium boreale,Dichanthelium boreale - Northern Rosette Grass,FACU
Dichanthelium clandestinum,Deer-Tongue Rosette Grass,Dichanthelium clandestinum,Dichanthelium clandestinum - Deer Tongue Rosette Grass,FAC
Dichanthelium commutatum,Variable Rosette Grass,Dichanthelium commutatum,Dichanthelium commutatum - Variable Rosette Grass,FAC
Dichanthelium consanguineum,Blood Rosette Grass,Dichanthelium consanguineum,Dichanthelium consanguineum - Blood Rosette Grass,FACU
Dichanthelium dichotomum,Cypress Rosette Grass,Dichanthelium dichotomum,Dichanthelium dichotomum - Cypress Rosette Grass,FAC
Dichanthelium latifolium,Broad-Leaf Rosette Grass,Dichanthelium latifolium,Dichanthelium latifolium - Broad Leaf Rosette Grass,FACU
Dichanthelium laxiflorum,Open-Flower Rosette Grass,Dichanthelium laxiflorum,Dichanthelium laxiflorum - Open Flower Rosette Grass,FAC
Dichanthelium leibergii,Leiberg's Rosette Grass,Dichanthelium leibergii,Dichanthelium leibergii - Leiberg's Rosette Grass,FACU
Dichanthelium leucothrix,Rough Rosette Grass,Dichanthelium leucothrix,Dichanthelium leucothrix - Rough Rosette Grass,FACW
Dichanthelium oligosanthes,Heller's Rosette Grass,Dichanthelium oligosanthes,Dichanthelium oligosanthes - Heller's Rosette Grass,FACU
Dichanthelium ovale,Egg-Leaf Rosette Grass,Dichanthelium ovale,Dichanthelium ovale - Egg Leaf Rosette Grass,FACU
Dichanthelium portoricense,Hemlock Rosette Grass,Dichanthelium portoricense,Dichanthelium portoricense - Hemlock Rosette Grass,FAC
Dichanthelium ravenelii,Ravenel's Rosette Grass,Dichanthelium ravenelii,Dichanthelium ravenelii - Ravenel's Rosette Grass,FAC
Dichanthelium scabriusculum,Woolly Rosette Grass,Dichanthelium scabriusculum,Dichanthelium scabriusculum - Woolly Rosette Grass,OBL
Dichanthelium scoparium,Broom Rosette Grass,Dichanthelium scoparium,Dichanthelium scoparium - Broom Rosette Grass,FACW
Dichanthelium sphaerocarpon,Round-Seed Rosette Grass,Dichanthelium sphaerocarpon,Dichanthelium sphaerocarpon - Round Seed Rosette Grass,FACU
Dichanthelium strigosum,Rough-Hair Rosette Grass,Dichanthelium strigosum,Dichanthelium strigosum - Rough Hair Rosette Grass,FACW
Dichanthium aristatum,Angleton's Bluestem,Dichanthium aristatum,Dichanthium aristatum - Angleton's Bluestem,FACU
Dichondra carolinensis,Carolina Pony's-Foot,Dichondra carolinensis,Dichondra carolinensis - Carolina Pony's Foot,FAC
Dichondra micrantha,Asian Pony's-Foot,Dichondra micrantha,Dichondra micrantha - Asian Pony's Foot,FACW
Dichondra recurvata,Oakwoods Pony's-Foot,Dichondra recurvata,Dichondra recurvata - Oakwoods Pony's Foot,FAC
Dicliptera brachiata,Branched Foldwing,Dicliptera brachiata,Dicliptera brachiata - Branched Foldwing,FACW
Dicliptera sexangularis,Six-Angle Foldwing,Dicliptera sexangularis,Dicliptera sexangularis - Six Angle Foldwing,FAC
Didiplis diandra,Water-Purslane,Didiplis diandra,Didiplis diandra - Water Purslane,OBL
Dieteria bigelovii,Bigelow's False Tansy-Aster,Dieteria bigelovii,Dieteria bigelovii - Bigelow's False Tansy Aster,FACW
Dieteria canescens,Hoar False Tansy-Aster,Dieteria canescens,Dieteria canescens - Hoar False Tansy Aster,UPL
Digitalis purpurea,Purple Foxglove,Digitalis purpurea,Digitalis purpurea - Purple Foxglove,UPL
Digitaria bicornis,Asian Crab Grass,Digitaria bicornis,Digitaria bicornis - Asian Crab Grass,FACU
Digitaria ciliaris,Southern Crab Grass,Digitaria ciliaris,Digitaria ciliaris - Southern Crab Grass,FACU
Digitaria eriantha,Pangola Grass,Digitaria eriantha,Digitaria eriantha - Pangola Grass,FACU
Digitaria insularis,Sour Grass,Digitaria insularis,Digitaria insularis - Sour Grass,FAC
Digitaria ischaemum,Smooth Crab Grass,Digitaria ischaemum,Digitaria ischaemum - Smooth Crab Grass,UPL
Digitaria sanguinalis,Hairy Crab Grass,Digitaria sanguinalis,Digitaria sanguinalis - Hairy Crab Grass,FACU
Digitaria violascens,Violet Crab Grass,Digitaria violascens,Digitaria violascens - Violet Crab Grass,FAC
Dinebra nealleyi,Nealley's Viper Grass,Dinebra nealleyi,Dinebra nealleyi - Nealley's Viper Grass,FACW
Dinebra panicea,Needle Viper Grass,Dinebra panicea,Dinebra panicea - Needle Viper Grass,FACW
Dinebra panicoides,Amazon Viper Grass,Dinebra panicoides,Dinebra panicoides - Amazon Viper Grass,FACW
Dinebra viscida,Sonoran Viper Grass,Dinebra viscida,Dinebra viscida - Sonoran Viper Grass,FACU
Diodia teres,Poorjoe,Diodia teres,Diodia teres - Poorjoe,FACU
Diodia virginiana,Virginia Buttonweed,Diodia virginiana,Diodia virginiana - Virginia Buttonweed,OBL
Dioscorea villosa,Wild Yam,Dioscorea villosa,Dioscorea villosa - Wild Yam,FAC
Diospyros virginiana,Common Persimmon,Diospyros virginiana,Diospyros virginiana - Common Persimmon,FAC
Diplachne fusca,Bearded Sprangletop,Diplachne fusca,Diplachne fusca - Bearded Sprangletop,FACW
Dipsacus fullonum,Fuller's Teasel,Dipsacus fullonum,Dipsacus fullonum - Fuller's Teasel,FACU
Dipsacus laciniatus,Cut-Leaf Teasel,Dipsacus laciniatus,Dipsacus laciniatus - Cut Leaf Teasel,UPL
Dirca palustris,Eastern Leatherwood,Dirca palustris,Dirca palustris - Eastern Leatherwood,FAC
Distichlis littoralis,Shore Grass,Distichlis littoralis,Distichlis littoralis - Shore Grass,OBL
Distichlis spicata,Coastal Salt Grass,Distichlis spicata,Distichlis spicata - Coastal Salt Grass,FACW
Ditrysinia fruticosa,Gulf Sebastian-Bush,Ditrysinia fruticosa,Ditrysinia fruticosa - Gulf Sebastian Bush,FAC
Dodecatheon conjugens,Bonneville Shootingstar,Dodecatheon conjugens,Dodecatheon conjugens - Bonneville Shootingstar,FACU
Dodecatheon meadia,Pride-of-Ohio,Dodecatheon meadia,Dodecatheon meadia - Pride of Ohio,FAC
Dodecatheon pulchellum,Dark-Throat Shootingstar,Dodecatheon pulchellum,Dodecatheon pulchellum - Dark Throat Shootingstar,FACW
Doellingeria sericocarpoides,Southern White-Top,Doellingeria sericocarpoides,Doellingeria sericocarpoides - Southern White Top,FACW
Doellingeria umbellata,Parasol White-Top,Doellingeria umbellata,Doellingeria umbellata - Parasol White Top,OBL
Draba albertina,Slender Whitlow-Grass,Draba albertina,Draba albertina - Slender Whitlow Grass,FAC
Draba aurea,Golden Whitlow-Grass,Draba aurea,Draba aurea - Golden Whitlow Grass,FAC
Draba helleriana,Heller's Whitlow-Grass,Draba helleriana,Draba helleriana - Heller's Whitlow Grass,FACU
Draba spectabilis,Showy Whitlow-Grass,Draba spectabilis,Draba spectabilis - Showy Whitlow Grass,FACU
Draba stenoloba,Alaska Whitlow-Grass,Draba stenoloba,Draba stenoloba - Alaska Whitlow Grass,UPL
Dracocephalum parviflorum,American Dragonhead,Dracocephalum parviflorum,Dracocephalum parviflorum - American Dragonhead,FACU
Dracopis amplexicaulis,Clasping-Coneflower,Dracopis amplexicaulis,Dracopis amplexicaulis - Clasping Coneflower,FAC
Drosera brevifolia,Dwarf Sundew,Drosera brevifolia,Drosera brevifolia - Dwarf Sundew,OBL
Drosera capillaris,Pink Sundew,Drosera capillaris,Drosera capillaris - Pink Sundew,OBL
Drosera intermedia,Spoon-Leaf Sundew,Drosera intermedia,Drosera intermedia - Spoon Leaf Sundew,OBL
Drosera rotundifolia,Round-Leaf Sundew,Drosera rotundifolia,Drosera rotundifolia - Round Leaf Sundew,OBL
Drosera X obovata,,Drosera X obovata,Drosera X obovata,OBL
Dryas ajanensis,Eight-Petal Mountain-Avens,Dryas ajanensis,Dryas ajanensis - Eight Petal Mountain Avens,UPL
Dryas integrifolia,White Mountain-Avens,Dryas integrifolia,Dryas integrifolia - White Mountain Avens,FACU
Drymaria pachyphylla,Thick-Leaf Drymary,Drymaria pachyphylla,Drymaria pachyphylla - Thick Leaf Drymary,FACU
Drymocallis arguta,Tall Woodbeauty,Drymocallis arguta,Drymocallis arguta - Tall Woodbeauty,FACU
Drymocallis convallaria,Cream Woodbeauty,Drymocallis convallaria,Drymocallis convallaria - Cream Woodbeauty,FACU
Drymocallis glandulosa,Sticky Woodbeauty,Drymocallis glandulosa,Drymocallis glandulosa - Sticky Woodbeauty,FAC
Drymocallis micropetala,Little-Petal Woodbeauty,Drymocallis micropetala,Drymocallis micropetala - Little Petal Woodbeauty,FAC
Drymocallis pseudorupestris,,Drymocallis pseudorupestris,Drymocallis pseudorupestris,FAC
Dryopteris carthusiana,Spinulose Wood Fern,Dryopteris carthusiana,Dryopteris carthusiana - Spinulose Wood Fern,FACW
Dryopteris celsa,Log Fern,Dryopteris celsa,Dryopteris celsa - Log Fern,OBL
Dryopteris cristata,Crested Wood Fern,Dryopteris cristata,Dryopteris cristata - Crested Wood Fern,OBL
Dryopteris marginalis,Marginal Wood Fern,Dryopteris marginalis,Dryopteris marginalis - Marginal Wood Fern,FACU
Dryopteris X triploidea,,Dryopteris X triploidea,Dryopteris X triploidea,FAC
Dryopteris X uliginosa,,Dryopteris X uliginosa,Dryopteris X uliginosa,FAC
Dulichium arundinaceum,Three-Way Sedge,Dulichium arundinaceum,Dulichium arundinaceum - Three Way Sedge,OBL
Dysphania ambrosioides,Mexican-Tea,Dysphania ambrosioides,Dysphania ambrosioides - Mexican Tea,FAC
Dysphania botrys,Jerusalem-Oak,Dysphania botrys,Dysphania botrys - Jerusalem Oak,FACU
Echinochloa colona,Jungle-Rice,Echinochloa colona,Echinochloa colona - Jungle Rice,FACW
Echinochloa crus-galli,Large Barnyard Grass,Echinochloa crus-galli,Echinochloa crus galli - Large Barnyard Grass,FAC
Echinochloa crus-pavonis,Gulf Cock's-Spur Grass,Echinochloa crus-pavonis,Echinochloa crus pavonis - Gulf Cock's Spur Grass,OBL
Echinochloa esculenta,Japanese Water Grass,Echinochloa esculenta,Echinochloa esculenta - Japanese Water Grass,FACU
Echinochloa frumentacea,Japanese-Millet,Echinochloa frumentacea,Echinochloa frumentacea - Japanese Millet,UPL
Echinochloa muricata,Rough Barnyard Grass,Echinochloa muricata,Echinochloa muricata - Rough Barnyard Grass,FACW
Echinochloa polystachya,Creeping River Grass,Echinochloa polystachya,Echinochloa polystachya - Creeping River Grass,FACW
Echinochloa walteri,Long-Awn Cock's-Spur Grass,Echinochloa walteri,Echinochloa walteri - Long Awn Cock's Spur Grass,OBL
Echinocystis lobata,Wild Cucumber,Echinocystis lobata,Echinocystis lobata - Wild Cucumber,FAC
Echinodorus berteroi,Upright Burrhead,Echinodorus berteroi,Echinodorus berteroi - Upright Burrhead,OBL
Echinodorus cordifolius,Creeping Burrhead,Echinodorus cordifolius,Echinodorus cordifolius - Creeping Burrhead,OBL
Echinopepon wrightii,Wild Balsam-Apple,Echinopepon wrightii,Echinopepon wrightii - Wild Balsam Apple,FAC
Eclipta prostrata,False Daisy,Eclipta prostrata,Eclipta prostrata - False Daisy,FACW
Egeria densa,Brazilian-Waterweed,Egeria densa,Egeria densa - Brazilian Waterweed,OBL
Egletes viscosa,Erect Tropical Daisy,Egletes viscosa,Egletes viscosa - Erect Tropical Daisy,FACW
Eichhornia azurea,Anchored Water-Hyacinth,Eichhornia azurea,Eichhornia azurea - Anchored Water Hyacinth,OBL
Eichhornia crassipes,Common Water-Hyacinth,Eichhornia crassipes,Eichhornia crassipes - Common Water Hyacinth,OBL
Elaeagnus angustifolia,Russian-Olive,Elaeagnus angustifolia,Elaeagnus angustifolia - Russian Olive,FACU
Elaeagnus commutata,American Silver-Berry,Elaeagnus commutata,Elaeagnus commutata - American Silver Berry,UPL
Elatine americana,American Waterwort,Elatine americana,Elatine americana - American Waterwort,OBL
Elatine brachysperma,Short-Seed Waterwort,Elatine brachysperma,Elatine brachysperma - Short Seed Waterwort,FACW
Elatine californica,California Waterwort,Elatine californica,Elatine californica - California Waterwort,OBL
Elatine rubella,Red-Stem Waterwort,Elatine rubella,Elatine rubella - Red Stem Waterwort,OBL
Eleocharis acicularis,Needle Spike-Rush,Eleocharis acicularis,Eleocharis acicularis - Needle Spike Rush,OBL
Eleocharis albida,White Spike-Rush,Eleocharis albida,Eleocharis albida - White Spike Rush,OBL
Eleocharis atropurpurea,Purple Spike-Rush,Eleocharis atropurpurea,Eleocharis atropurpurea - Purple Spike Rush,FACW
Eleocharis baldwinii,Baldwin's Spike-Rush,Eleocharis baldwinii,Eleocharis baldwinii - Baldwin's Spike Rush,FACW
Eleocharis bella,Delicate Spike-Rush,Eleocharis bella,Eleocharis bella - Delicate Spike Rush,FACW
Eleocharis cellulosa,Gulf Coast Spike-Rush,Eleocharis cellulosa,Eleocharis cellulosa - Gulf Coast Spike Rush,OBL
