Scientific_Name,Common_Name,name,label,Indicator_Status
Catabrosa aquatica,Water Whorl Grass,Catabrosa aquatica,Catabrosa aquatica - Water Whorl Grass,OBL
Catalpa bignonioides,Southern Catalpa,Catalpa bignonioides,Catalpa bignonioides - Southern Catalpa,UPL
Catalpa speciosa,Northern Catalpa,Catalpa speciosa,Catalpa speciosa - Northern Catalpa,FAC
Catharanthus roseus,Madagascar-Periwinkle,Catharanthus roseus,Catharanthus roseus - Madagascar-Periwinkle,UPL
Celastrus scandens,American Bittersweet,Celastrus scandens,Celastrus scandens - American Bittersweet,FACU
Celtis laevigata,Sugar-Berry,Celtis laevigata,Celtis laevigata - Sugar-Berry,FAC
Celtis occidentalis,Common Hackberry,Celtis occidentalis,Celtis occidentalis - Common Hackberry,FAC
Celtis reticulata,Net-Leaf Hackberry,Celtis reticulata,Celtis reticulata - Net-Leaf Hackberry,FAC
Cenchrus americanus,Pearl-Millet,Cenchrus americanus,Cenchrus americanus - Pearl-Millet,UPL
Cenchrus ciliaris,Buffel Grass,Cenchrus ciliaris,Cenchrus ciliaris - Buffel Grass,UPL
Cenchrus clandestinus,Kikuyu Grass,Cenchrus clandestinus,Cenchrus clandestinus - Kikuyu Grass,FACU
Cenchrus echinatus,Southern Sandburr,Cenchrus echinatus,Cenchrus echinatus - Southern Sandburr,FACU
Cenchrus longispinus,Innocent-Weed,Cenchrus longispinus,Cenchrus longispinus - Innocent-Weed,UPL
Cenchrus myosuroides,Big Sandburr,Cenchrus myosuroides,Cenchrus myosuroides - Big Sandburr,FACU
Cenchrus polystachios,Mission Grass,Cenchrus polystachios,Cenchrus polystachios - Mission Grass,FAC
Cenchrus purpureus,Elephant Grass,Cenchrus purpureus,Cenchrus purpureus - Elephant Grass,FACU
Centaurea cyanus,Garden Cornflower,Centaurea cyanus,Centaurea cyanus - Garden Cornflower,FACU
Centaurea jacea,Brown-Ray Knapweed,Centaurea jacea,Centaurea jacea - Brown-Ray Knapweed,FACU
Centaurea X moncktonii,,Centaurea X moncktonii,Berkheya heterophylla,FACU
Centaurium erythraea,European Centaury,Centaurium erythraea,Centaurium erythraea - European Centaury,FAC
Centaurium pulchellum,Branched Centaury,Centaurium pulchellum,Centaurium pulchellum - Branched Centaury,FACU
Centaurium tenuiflorum,Slender Centaury,Centaurium tenuiflorum,Centaurium tenuiflorum - Slender Centaury,FACW
Centipeda minima,Spreading-Sneezeweed,Centipeda minima,Centipeda minima - Spreading-Sneezeweed,FAC
Centromadia fitchii,Fitch's False Tarplant,Centromadia fitchii,Centromadia fitchii - Fitch's False Tarplant,FACU
Centromadia parryi,Parry's False Tarplant,Centromadia parryi,Centromadia parryi - Parry's False Tarplant,FACW
Centromadia pungens,Pungent False Tarplant,Centromadia pungens,Centromadia pungens - Pungent False Tarplant,FAC
Cephalanthus occidentalis,Common Buttonbush,Cephalanthus occidentalis,Cephalanthus occidentalis - Common Buttonbush,OBL
Cerastium arvense,Field Mouse-Ear Chickweed,Cerastium arvense,Cerastium arvense - Field Mouse-Ear Chickweed,FACU
Cerastium axillare,Trans-Pecos Mouse-Ear Chickweed,Cerastium axillare,Cerastium axillare - Trans-Pecos Mouse-Ear Chickweed,FACU
Cerastium beeringianum,Bering Sea Mouse-Ear Chickweed,Cerastium beeringianum,Cerastium beeringianum - Bering Sea Mouse-Ear Chickweed,FACU
Cerastium brachypodum,Short-Stalk Mouse-Ear Chickweed,Cerastium brachypodum,Cerastium brachypodum - Short-Stalk Mouse-Ear Chickweed,FAC
Cerastium fontanum,Common Mouse-Ear Chickweed,Cerastium fontanum,Cerastium fontanum - Common Mouse-Ear Chickweed,FACU
Cerastium glomeratum,Sticky Mouse-Ear Chickweed,Cerastium glomeratum,Cerastium glomeratum - Sticky Mouse-Ear Chickweed,UPL
Cerastium nutans,Nodding Mouse-Ear Chickweed,Cerastium nutans,Cerastium nutans - Nodding Mouse-Ear Chickweed,FACU
Ceratophyllum demersum,Coon's-Tail,Ceratophyllum demersum,Ceratophyllum demersum - Coon's-Tail,OBL
Ceratopteris thalictroides,Watersprite,Ceratopteris thalictroides,Ceratopteris thalictroides - Watersprite,OBL
Cercis canadensis,Redbud,Cercis canadensis,Cercis canadensis - Redbud,UPL
Cestrum nocturnum,Night Flowering-Jassamine,Cestrum nocturnum,Cestrum nocturnum - Night Flowering-Jassamine,UPL
Chaerophyllum tainturieri,Hairy-Fruit Chervil,Chaerophyllum tainturieri,Chaerophyllum tainturieri - Hairy-Fruit Chervil,FAC
Chamaecrista fasciculata,Sleepingplant,Chamaecrista fasciculata,Chamaecrista fasciculata - Sleepingplant,FACU
Chamaecyparis lawsoniana,Port Orford-Cedar,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana - Port Orford-Cedar,FACU
Chamaenerion angustifolium,Narrow-Leaf Fireweed,Chamaenerion angustifolium,Chamaenerion angustifolium - Narrow-Leaf Fireweed,FACU
Chamaenerion latifolium,Broad-Leaf Fireweed,Chamaenerion latifolium,Chamaenerion latifolium - Broad-Leaf Fireweed,FACW
Chasmanthium latifolium,Indian Wood-Oats,Chasmanthium latifolium,Chasmanthium latifolium - Indian Wood-Oats,FAC
Chelidonium majus,Greater Celandine,Chelidonium majus,Chelidonium majus - Greater Celandine,FACU
Chenopodium album,Lamb's-Quarters,Chenopodium album,Chenopodium album - Lamb's-Quarters,FACU
Chenopodium chenopodioides,Low Goosefoot,Chenopodium chenopodioides,Chenopodium chenopodioides - Low Goosefoot,FACW
Chenopodium foliosum,Leafy Goosefoot,Chenopodium foliosum,Chenopodium foliosum - Leafy Goosefoot,FACU
Chenopodium fremontii,Fremont's Goosefoot,Chenopodium fremontii,Chenopodium fremontii - Fremont's Goosefoot,FACU
Chenopodium glaucum,Oak-Leaf Goosefoot,Chenopodium glaucum,Chenopodium glaucum - Oak-Leaf Goosefoot,FAC
Chenopodium leptophyllum,Narrow-Leaf Goosefoot,Chenopodium leptophyllum,Chenopodium leptophyllum - Narrow-Leaf Goosefoot,FACU
Chenopodium macrospermum,Large-Seed Goosefoot,Chenopodium macrospermum,Chenopodium macrospermum - Large-Seed Goosefoot,FACW
Chenopodium murale,Nettle-Leaf Goosefoot,Chenopodium murale,Chenopodium murale - Nettle-Leaf Goosefoot,FACU
Chenopodium rubrum,Red Goosefoot,Chenopodium rubrum,Chenopodium rubrum - Red Goosefoot,FACW
Chilopsis linearis,Desert-Willow,Chilopsis linearis,Chilopsis linearis - Desert-Willow,FAC
Chionophila jamesii,Rocky Mountain Snowlover,Chionophila jamesii,Chionophila jamesii - Rocky Mountain Snowlover,FACU
Chloracantha spinosa,Mexican-Devilweed,Chloracantha spinosa,Chloracantha spinosa - Mexican-Devilweed,FAC
Chloris gayana,Rhodes Grass,Chloris gayana,Chloris gayana - Rhodes Grass,FACU
Chloris virgata,Feather Windmill Grass,Chloris virgata,Chloris virgata - Feather Windmill Grass,FACU
Chloropyron maritimum,Saltmarsh Salt-Bird's-Beak,Chloropyron maritimum,Chloropyron maritimum - Saltmarsh Salt-Bird's-Beak,OBL
Chloropyron molle,Soft Salt-Bird's-Beak,Chloropyron molle,Chloropyron molle - Soft Salt-Bird's-Beak,OBL
Chloropyron palmatum,Palm-Bract Salt-Bird's-Beak,Chloropyron palmatum,Chloropyron palmatum - Palm-Bract Salt-Bird's-Beak,OBL
Chloropyron tecopense,Tecopa Salt-Bird's-Beak,Chloropyron tecopense,Chloropyron tecopense - Tecopa Salt-Bird's-Beak,FACW
Chrysosplenium glechomifolium,Pacific Golden-Saxifrage,Chrysosplenium glechomifolium,Chrysosplenium glechomifolium - Pacific Golden-Saxifrage,OBL
Chrysosplenium tetrandrum,Northern Golden-Saxifrage,Chrysosplenium tetrandrum,Chrysosplenium tetrandrum - Northern Golden-Saxifrage,OBL
Cicendia quadrangularis,Oregon Timwort,Cicendia quadrangularis,Cicendia quadrangularis - Oregon Timwort,FAC
Cichorium intybus,Chicory,Cichorium intybus,Cichorium intybus - Chicory,FACU
Cicuta bulbifera,Bulblet-Bearing Water-Hemlock,Cicuta bulbifera,Cicuta bulbifera - Bulblet-Bearing Water-Hemlock,OBL
Cicuta douglasii,Western Water-Hemlock,Cicuta douglasii,Cicuta douglasii - Western Water-Hemlock,OBL
Cicuta maculata,Spotted Water-Hemlock,Cicuta maculata,Cicuta maculata - Spotted Water-Hemlock,OBL
Cinna bolanderi,Bolander's Wood-Reed,Cinna bolanderi,Cinna bolanderi - Bolander's Wood-Reed,FACW
Cinna latifolia,Slender Wood-Reed,Cinna latifolia,Cinna latifolia - Slender Wood-Reed,FACW
Cinnamomum camphora,Camphortree,Cinnamomum camphora,Cinnamomum camphora - Camphortree,UPL
Circaea alpina,Small Enchanter's-Nightshade,Circaea alpina,Circaea alpina - Small Enchanter's-Nightshade,FAC
Cirsium andrewsii,Franciscan Thistle,Cirsium andrewsii,Cirsium andrewsii - Franciscan Thistle,FAC
Cirsium arizonicum,Arizona Thistle,Cirsium arizonicum,Cirsium arizonicum - Arizona Thistle,FACU
Cirsium arvense,Canadian Thistle,Cirsium arvense,Cirsium arvense - Canadian Thistle,FACU
Cirsium crassicaule,Slough Thistle,Cirsium crassicaule,Cirsium crassicaule - Slough Thistle,OBL
Cirsium douglasii,Douglas' Thistle,Cirsium douglasii,Cirsium douglasii - Douglas' Thistle,OBL
Cirsium edule,Edible Thistle,Cirsium edule,Cirsium edule - Edible Thistle,FAC
Cirsium flodmanii,Flodman's Thistle,Cirsium flodmanii,Cirsium flodmanii - Flodman's Thistle,FAC
Cirsium foliosum,Elk Thistle,Cirsium foliosum,Cirsium foliosum - Elk Thistle,FAC
Cirsium fontinale,Fountain Thistle,Cirsium fontinale,Cirsium fontinale - Fountain Thistle,OBL
Cirsium hydrophilum,Suisun Thistle,Cirsium hydrophilum,Cirsium hydrophilum - Suisun Thistle,OBL
Cirsium mohavense,Mojave Thistle,Cirsium mohavense,Cirsium mohavense - Mojave Thistle,FACU
Cirsium nuttallii,Nuttall's Thistle,Cirsium nuttallii,Cirsium nuttallii - Nuttall's Thistle,FAC
Cirsium parryi,Parry's Thistle,Cirsium parryi,Cirsium parryi - Parry's Thistle,FACW
Cirsium scariosum,Meadow Thistle,Cirsium scariosum,Cirsium scariosum - Meadow Thistle,FAC
Cirsium tracyi,Tracy's Thistle,Cirsium tracyi,Cirsium tracyi - Tracy's Thistle,FACU
Cirsium undulatum,Wavy-Leaf Thistle,Cirsium undulatum,Cirsium undulatum - Wavy-Leaf Thistle,FACU
Cirsium vinaceum,Sacramento Mountain Thistle,Cirsium vinaceum,Cirsium vinaceum - Sacramento Mountain Thistle,OBL
Cirsium vulgare,Bull Thistle,Cirsium vulgare,Cirsium vulgare - Bull Thistle,FACU
Cirsium wrightii,Wright's Thistle,Cirsium wrightii,Cirsium wrightii - Wright's Thistle,OBL
Cissus trifoliata,Sorrelvine,Cissus trifoliata,Cissus trifoliata - Sorrelvine,UPL
Cistanthe ambigua,Desert Pussypaws,Cistanthe ambigua,Cistanthe ambigua - Desert Pussypaws,FAC
Citrullus lanatus,Watermelon,Citrullus lanatus,Citrullus lanatus - Watermelon,UPL
Cladium californicum,California Saw-Grass,Cladium californicum,Cladium californicum - California Saw-Grass,OBL
Cladium mariscus,Swamp Saw-Grass,Cladium mariscus,Cladium mariscus - Swamp Saw-Grass,OBL
Claytonia cordifolia,Heart-Leaf Springbeauty,Claytonia cordifolia,Claytonia cordifolia - Heart-Leaf Springbeauty,FAC
Claytonia gypsophiloides,Gypsum Springbeauty,Claytonia gypsophiloides,Claytonia gypsophiloides - Gypsum Springbeauty,FACU
Claytonia lanceolata,Lance-Leaf Springbeauty,Claytonia lanceolata,Claytonia lanceolata - Lance-Leaf Springbeauty,FAC
Claytonia megarhiza,Alpine Springbeauty,Claytonia megarhiza,Claytonia megarhiza - Alpine Springbeauty,FACU
Claytonia multiscapa,Many-Stem Springbeauty,Claytonia multiscapa,Claytonia multiscapa - Many-Stem Springbeauty,FAC
Claytonia nevadensis,Sierran Springbeauty,Claytonia nevadensis,Claytonia nevadensis - Sierran Springbeauty,FAC
Claytonia palustris,Jonesville Springbeauty,Claytonia palustris,Claytonia palustris - Jonesville Springbeauty,FACW
Claytonia parviflora,Streambank Springbeauty,Claytonia parviflora,Claytonia parviflora - Streambank Springbeauty,FACU
Claytonia perfoliata,Miner's-Lettuce,Claytonia perfoliata,Claytonia perfoliata - Miner's-Lettuce,FAC
Claytonia sibirica,Siberian Springbeauty,Claytonia sibirica,Claytonia sibirica - Siberian Springbeauty,FAC
Claytonia washingtoniana,Washington Springbeauty,Claytonia washingtoniana,Claytonia washingtoniana - Washington Springbeauty,FACU
Clematis crispa,Swamp Leather-Flower,Clematis crispa,Clematis crispa - Swamp Leather-Flower,FACW
Clematis ligusticifolia,Deciduous Traveler's-Joy,Clematis ligusticifolia,Clematis ligusticifolia - Deciduous Traveler's-Joy,FAC
Clematis pitcheri,Bluebill,Clematis pitcheri,Clematis pitcheri - Bluebill,FACU
Clematis terniflora,Sweet Autumn Virgin's-Bower,Clematis terniflora,Clematis terniflora - Sweet Autumn Virgin's-Bower,FACU
Clematis vitalba,Evergreen Traveler's-Joy,Clematis vitalba,Clematis vitalba - Evergreen Traveler's-Joy,FAC
Cleomella brevipes,Short-Stalk Stinkweed,Cleomella brevipes,Cleomella brevipes - Short-Stalk Stinkweed,FACW
Cleomella longipes,Chiricahua Mountain Stinkweed,Cleomella longipes,Cleomella longipes - Chiricahua Mountain Stinkweed,FACU
Cleomella parviflora,Small-Flower Stinkweed,Cleomella parviflora,Cleomella parviflora - Small-Flower Stinkweed,FACW
Cleomella plocasperma,Alkali Stinkweed,Cleomella plocasperma,Cleomella plocasperma - Alkali Stinkweed,FACW
Clinopodium arkansanum,Limestone Wild Basil,Clinopodium arkansanum,Clinopodium arkansanum - Limestone Wild Basil,FAC
Clinopodium douglasii,Oregon-Tea,Clinopodium douglasii,Clinopodium douglasii - Oregon-Tea,FACU
Clitoria mariana,Atlantic Pigeonwings,Clitoria mariana,Clitoria mariana - Atlantic Pigeonwings,FACU
Cocculus carolinus,Carolina Coralbead,Cocculus carolinus,Cocculus carolinus - Carolina Coralbead,FACU
Coeloglossum viride,Long-Bract Frog Orchid,Coeloglossum viride,Coeloglossum viride - Long-Bract Frog Orchid,FAC
Coix lacryma-jobi,Job's-Tears,Coix lacryma-jobi,Coix lacryma-jobi - Job's-Tears,FACW
Coleanthus subtilis,Moss Grass,Coleanthus subtilis,Coleanthus subtilis - Moss Grass,OBL
Coleataenia rigidula,Red-Top Cut-Throat Grass,Coleataenia rigidula,Coleataenia rigidula - Red-Top Cut-Throat Grass,FACW
Collinsia tinctoria,Tinctureplant,Collinsia tinctoria,Collinsia tinctoria - Tinctureplant,FACU
Collomia linearis,Narrow-Leaf Mountain-Trumpet,Collomia linearis,Collomia linearis - Narrow-Leaf Mountain-Trumpet,FACU
Collomia rawsoniana,Flaming Mountain-Trumpet,Collomia rawsoniana,Collomia rawsoniana - Flaming Mountain-Trumpet,FACU
Comandra umbellata,Bastard-Toadflax,Comandra umbellata,Comandra umbellata - Bastard-Toadflax,UPL
Comarum palustre,Purple Marshlocks,Comarum palustre,Comarum palustre - Purple Marshlocks,OBL
Comastoma tenellum,Samiland-Gentian,Comastoma tenellum,Comastoma tenellum - Samiland-Gentian,FACW
Commelina benghalensis,Jio,Commelina benghalensis,Commelina benghalensis - Jio,FACU
Commelina communis,Asiatic Dayflower,Commelina communis,Commelina communis - Asiatic Dayflower,FAC
Commelina erecta,White-Mouth Dayflower,Commelina erecta,Commelina erecta - White-Mouth Dayflower,FACU
Conioselinum pacificum,Pacific Hemlock-Parsley,Conioselinum pacificum,Conioselinum pacificum - Pacific Hemlock-Parsley,FAC
Conioselinum scopulorum,Rocky Mountain Hemlock-Parsley,Conioselinum scopulorum,Conioselinum scopulorum - Rocky Mountain Hemlock-Parsley,FACW
Conium maculatum,Poison-Hemlock,Conium maculatum,Conium maculatum - Poison-Hemlock,FACW
Conoclinium dissectum,Pinked Mistflower,Conoclinium dissectum,Conoclinium dissectum - Pinked Mistflower,FACU
Convolvulus equitans,Texas Bindweed,Convolvulus equitans,Convolvulus equitans - Texas Bindweed,FACU
Cooperia chlorosolen,Evening Rain-Lily,Cooperia chlorosolen,Cooperia chlorosolen - Evening Rain-Lily,FACU
Coptis laciniata,Oregon Goldthread,Coptis laciniata,Coptis laciniata - Oregon Goldthread,FAC
Corallorhiza maculata,Summer Coralroot,Corallorhiza maculata,Corallorhiza maculata - Summer Coralroot,UPL
Corallorhiza striata,Hooded Coralroot,Corallorhiza striata,Corallorhiza striata - Hooded Coralroot,FACU
Corallorhiza trifida,Yellow Coralroot,Corallorhiza trifida,Corallorhiza trifida - Yellow Coralroot,FAC
Corallorhiza wisteriana,Spring Coralroot,Corallorhiza wisteriana,Corallorhiza wisteriana - Spring Coralroot,FAC
Cordylanthus eremicus,Desert Bird's-Beak,Cordylanthus eremicus,Cordylanthus eremicus - Desert Bird's-Beak,FACW
Cordylanthus ramosus,Bushy Bird's-Beak,Cordylanthus ramosus,Cordylanthus ramosus - Bushy Bird's-Beak,FACU
Coreopsis lanceolata,Lance-Leaf Tickseed,Coreopsis lanceolata,Coreopsis lanceolata - Lance-Leaf Tickseed,FACU
Coreopsis tinctoria,Golden Tickseed,Coreopsis tinctoria,Coreopsis tinctoria - Golden Tickseed,FACU
Corispermum americanum,American Bugseed,Corispermum americanum,Corispermum americanum - American Bugseed,FACU
Corispermum hyssopifolium,Hyssop-Leaf Bugseed,Corispermum hyssopifolium,Corispermum hyssopifolium - Hyssop-Leaf Bugseed,FACU
Corispermum welshii,Welsh's Bugseed,Corispermum welshii,Corispermum welshii - Welsh's Bugseed,FACU
Cornus alba,Red Osier,Cornus alba,Cornus alba - Red Osier,FACW
Cornus canadensis,Canadian Bunchberry,Cornus canadensis,Cornus canadensis - Canadian Bunchberry,FAC
Cornus glabrata,Smooth-Leaf Dogwood,Cornus glabrata,Cornus glabrata - Smooth-Leaf Dogwood,FACW
Cornus nuttallii,Pacific Flowering Dogwood,Cornus nuttallii,Cornus nuttallii - Pacific Flowering Dogwood,FACU
Cornus sessilis,Black-Fruit Dogwood,Cornus sessilis,Cornus sessilis - Black-Fruit Dogwood,FAC
Cortaderia jubata,Uruguayan Pampas Grass,Cortaderia jubata,Cortaderia jubata - Uruguayan Pampas Grass,FACU
Cortaderia selloana,Selloa Pampus Grass,Cortaderia selloana,Cortaderia selloana - Selloa Pampus Grass,FACU
Corydalis caseana,Sierran Fumewort,Corydalis caseana,Corydalis caseana - Sierran Fumewort,FACW
Corylus avellana,Common Filbert,Corylus avellana,Corylus avellana - Common Filbert,FACU
Corylus cornuta,Beaked Hazelnut,Corylus cornuta,Corylus cornuta - Beaked Hazelnut,FACU
Corymbia citriodora,Lemon-Scented Ghost-Gum,Corymbia citriodora,Corymbia citriodora - Lemon-Scented Ghost-Gum,FACU
Cosmos bipinnatus,Garden Cosmos,Cosmos bipinnatus,Cosmos bipinnatus - Garden Cosmos,FACW
Cosmos parviflorus,Southwestern Cosmos,Cosmos parviflorus,Cosmos parviflorus - Southwestern Cosmos,FACU
Cosmos sulphureus,Sulphur Cosmos,Cosmos sulphureus,Cosmos sulphureus - Sulphur Cosmos,FACU
Cotula australis,Australian Water-Buttons,Cotula australis,Cotula australis - Australian Water-Buttons,FAC
Cotula coronopifolia,Common Brassbuttons,Cotula coronopifolia,Cotula coronopifolia - Common Brassbuttons,OBL
Cotula mexicana,Mexican Brassbuttons,Cotula mexicana,Cotula mexicana - Mexican Brassbuttons,UPL
Crassocephalum crepidioides,Red-Flower Ragleaf,Crassocephalum crepidioides,Crassocephalum crepidioides - Red-Flower Ragleaf,FACU
Crassula aquatica,Water Pygmyweed,Crassula aquatica,Crassula aquatica - Water Pygmyweed,OBL
Crassula connata,Sand Pygmyweed,Crassula connata,Crassula connata - Sand Pygmyweed,FAC
Crassula solieri,Smooth-Seed Pygmyweed,Crassula solieri,Crassula solieri - Smooth-Seed Pygmyweed,OBL
Crassula tillaea,Moss Pygmyweed,Crassula tillaea,Crassula tillaea - Moss Pygmyweed,FACU
Crataegus douglasii,Black Hawthorn,Crataegus douglasii,Crataegus douglasii - Black Hawthorn,FAC
Crataegus erythropoda,Cerro Hawthorn,Crataegus erythropoda,Crataegus erythropoda - Cerro Hawthorn,FAC
Crataegus gaylussacia,Suksdorf's Hawthorn,Crataegus gaylussacia,Crataegus gaylussacia - Suksdorf's Hawthorn,FAC
Crataegus monogyna,English Hawthorn,Crataegus monogyna,Crataegus monogyna - English Hawthorn,FAC
Crataegus rivularis,River Hawthorn,Crataegus rivularis,Crataegus rivularis - River Hawthorn,FAC
Crataegus saligna,Willow Hawthorn,Crataegus saligna,Crataegus saligna - Willow Hawthorn,FAC
Crepis capillaris,Smooth Hawk's-Beard,Crepis capillaris,Crepis capillaris - Smooth Hawk's-Beard,FACU
Crepis runcinata,Fiddle-Leaf Hawk's-Beard,Crepis runcinata,Crepis runcinata - Fiddle-Leaf Hawk's-Beard,FACU
Cressa truxillensis,Spreading Alkali-Weed,Cressa truxillensis,Cressa truxillensis - Spreading Alkali-Weed,FACW
Crocosmia X crocosmiiflora,,Crocosmia X crocosmiiflora,Carthamus lanatus,FACU
Crotalaria capensis,Cape Rattlebox,Crotalaria capensis,Crotalaria capensis - Cape Rattlebox,FACU
Crypsis alopecuroides,Fox-Tail Prickle Grass,Crypsis alopecuroides,Crypsis alopecuroides - Fox-Tail Prickle Grass,OBL
Crypsis schoenoides,Swamp Prickle Grass,Crypsis schoenoides,Crypsis schoenoides - Swamp Prickle Grass,FACW
Crypsis vaginiflora,African Prickle Grass,Crypsis vaginiflora,Crypsis vaginiflora - African Prickle Grass,OBL
Cryptantha crinita,Sacramento Cat's-Eye,Cryptantha crinita,Cryptantha crinita - Sacramento Cat's-Eye,FACU
Cryptogramma stelleri,Fragile Rockbrake,Cryptogramma stelleri,Cryptogramma stelleri - Fragile Rockbrake,FACU
Cyclachaena xanthiifolia,Carelessweed,Cyclachaena xanthiifolia,Cyclachaena xanthiifolia - Carelessweed,FAC
Cycloloma atriplicifolium,Winged-Pigweed,Cycloloma atriplicifolium,Cycloloma atriplicifolium - Winged-Pigweed,FACU
Cyclospermum leptophyllum,Marsh-Parsley,Cyclospermum leptophyllum,Cyclospermum leptophyllum - Marsh-Parsley,FACU
Cynanchum laeve,Honeyvine,Cynanchum laeve,Cynanchum laeve - Honeyvine,FAC
Cynodon dactylon,Bermuda Grass,Cynodon dactylon,Cynodon dactylon - Bermuda Grass,FACU
Cynoglossum officinale,Gypsy-Flower,Cynoglossum officinale,Cynoglossum officinale - Gypsy-Flower,FACU
Cynosurus cristatus,Crested Dog's-Tail Grass,Cynosurus cristatus,Cynosurus cristatus - Crested Dog's-Tail Grass,FACU
Cyperus acuminatus,Taper-Tip Flat Sedge,Cyperus acuminatus,Cyperus acuminatus - Taper-Tip Flat Sedge,OBL
Cyperus aggregatus,Inflated-Scale Flat Sedge,Cyperus aggregatus,Cyperus aggregatus - Inflated-Scale Flat Sedge,FAC
Cyperus amabilis,Foothill Flat Sedge,Cyperus amabilis,Cyperus amabilis - Foothill Flat Sedge,FACU
Cyperus bipartitus,Shining Flat Sedge,Cyperus bipartitus,Cyperus bipartitus - Shining Flat Sedge,OBL
Cyperus croceus,Baldwin's Flat Sedge,Cyperus croceus,Cyperus croceus - Baldwin's Flat Sedge,FAC
Cyperus difformis,Variable Flat Sedge,Cyperus difformis,Cyperus difformis - Variable Flat Sedge,OBL
Cyperus elegans,Royal Flat Sedge,Cyperus elegans,Cyperus elegans - Royal Flat Sedge,FACW
Cyperus eragrostis,Tall Flat Sedge,Cyperus eragrostis,Cyperus eragrostis - Tall Flat Sedge,FACW
Cyperus erythrorhizos,Red-Root Flat Sedge,Cyperus erythrorhizos,Cyperus erythrorhizos - Red-Root Flat Sedge,OBL
Cyperus esculentus,Chufa,Cyperus esculentus,Cyperus esculentus - Chufa,FACW
Cyperus fendlerianus,Fendler's Flat Sedge,Cyperus fendlerianus,Cyperus fendlerianus - Fendler's Flat Sedge,FAC
Cyperus flavescens,Yellow Flat Sedge,Cyperus flavescens,Cyperus flavescens - Yellow Flat Sedge,OBL
Cyperus flavicomus,White-Edge Flat Sedge,Cyperus flavicomus,Cyperus flavicomus - White-Edge Flat Sedge,FAC
Cyperus fuscus,Galingale,Cyperus fuscus,Cyperus fuscus - Galingale,FAC
Cyperus gracilis,Slimjim Flat Sedge,Cyperus gracilis,Cyperus gracilis - Slimjim Flat Sedge,FAC
Cyperus hermaphroditus,Hermaphrodite Flat Sedge,Cyperus hermaphroditus,Cyperus hermaphroditus - Hermaphrodite Flat Sedge,FAC
Cyperus involucratus,Alternate-Leaf Flat Sedge,Cyperus involucratus,Cyperus involucratus - Alternate-Leaf Flat Sedge,FACW
Cyperus iria,Ricefield Flat Sedge,Cyperus iria,Cyperus iria - Ricefield Flat Sedge,FACW
Cyperus laevigatus,Smooth Flat Sedge,Cyperus laevigatus,Cyperus laevigatus - Smooth Flat Sedge,FACW
Cyperus lupulinus,Great Plains Flat Sedge,Cyperus lupulinus,Cyperus lupulinus - Great Plains Flat Sedge,FACU
Cyperus mutisii,Mutis' Flat Sedge,Cyperus mutisii,Cyperus mutisii - Mutis' Flat Sedge,FACU
Cyperus niger,Black Flat Sedge,Cyperus niger,Cyperus niger - Black Flat Sedge,FACW
Cyperus odoratus,Rusty Flat Sedge,Cyperus odoratus,Cyperus odoratus - Rusty Flat Sedge,FACW
Cyperus onerosus,Plains Flat Sedge,Cyperus onerosus,Cyperus onerosus - Plains Flat Sedge,FACW
Cyperus owanii,Owan's Flat Sedge,Cyperus owanii,Cyperus owanii - Owan's Flat Sedge,FAC
Cyperus papyrus,Papyrus Flat Sedge,Cyperus papyrus,Cyperus papyrus - Papyrus Flat Sedge,OBL
Cyperus parishii,Parish's Flat Sedge,Cyperus parishii,Cyperus parishii - Parish's Flat Sedge,FACW
Cyperus retrorsus,Pine-Barren Flat Sedge,Cyperus retrorsus,Cyperus retrorsus - Pine-Barren Flat Sedge,FAC
Cyperus rotundus,Purple Flat Sedge,Cyperus rotundus,Cyperus rotundus - Purple Flat Sedge,FAC
Cyperus schweinitzii,Sand Flat Sedge,Cyperus schweinitzii,Cyperus schweinitzii - Sand Flat Sedge,FAC
Cyperus seslerioides,Texas Flat Sedge,Cyperus seslerioides,Cyperus seslerioides - Texas Flat Sedge,FAC
Cyperus squarrosus,Awned Flat Sedge,Cyperus squarrosus,Cyperus squarrosus - Awned Flat Sedge,OBL
Cyperus strigosus,Straw-Color Flat Sedge,Cyperus strigosus,Cyperus strigosus - Straw-Color Flat Sedge,FACW
Cyperus tetragonus,Four-Angle Flat Sedge,Cyperus tetragonus,Cyperus tetragonus - Four-Angle Flat Sedge,FACU
Cyperus virens,Green Flat Sedge,Cyperus virens,Cyperus virens - Green Flat Sedge,FACW
Cypripedium californicum,California Lady's-Slipper,Cypripedium californicum,Cypripedium californicum - California Lady's-Slipper,OBL
Cypripedium fasciculatum,Clustered Lady's-Slipper,Cypripedium fasciculatum,Cypripedium fasciculatum - Clustered Lady's-Slipper,FACU
Cypripedium montanum,Mountain Lady's-Slipper,Cypripedium montanum,Cypripedium montanum - Mountain Lady's-Slipper,FACU
Cypripedium parviflorum,Yellow Lady's-Slipper,Cypripedium parviflorum,Cypripedium parviflorum - Yellow Lady's-Slipper,FACW
Cypselea humifusa,Panal,Cypselea humifusa,Cypselea humifusa - Panal,FACW
Cyrtorhyncha cymbalaria,Alkali Buttercup,Cyrtorhyncha cymbalaria,Cyrtorhyncha cymbalaria - Alkali Buttercup,OBL
