Scientific_Name,Common_Name,name,label,Indicator_Status
Agrostis mertensii,Northern Bent,Agrostis mertensii,Agrostis mertensii - Northern Bent,FACU
Agrostis microphylla,Small-Leaf Bent,Agrostis microphylla,Agrostis microphylla - Small-Leaf Bent,FACW
Agrostis oregonensis,Oregon Bent,Agrostis oregonensis,Agrostis oregonensis - Oregon Bent,FACW
Agrostis pallens,Seashore Bent,Agrostis pallens,Agrostis pallens - Seashore Bent,FACU
Agrostis pauzhetica,Thermal Bent,Agrostis pauzhetica,Agrostis pauzhetica - Thermal Bent,FACU
Agrostis perennans,Upland Bent,Agrostis perennans,Agrostis perennans - Upland Bent,FAC
Agrostis rossiae,Ross' Bent,Agrostis rossiae,Agrostis rossiae - Ross' Bent,FAC
Agrostis scabra,Rough Bent,Agrostis scabra,Agrostis scabra - Rough Bent,FAC
Agrostis stolonifera,Spreading Bent,Agrostis stolonifera,Agrostis stolonifera - Spreading Bent,FACW
Ailanthus altissima,Tree-of-Heaven,Ailanthus altissima,Ailanthus altissima - Tree-of-Heaven,FACU
Aira caryophyllea,Common Silver-Hair Grass,Aira caryophyllea,Aira caryophyllea - Common Silver-Hair Grass,FACU
Aletris farinosa,White Colicroot,Aletris farinosa,Aletris farinosa - White Colicroot,FAC
Alhagi maurorum,Camelthorn,Alhagi maurorum,Alhagi maurorum - Camelthorn,FAC
Aliciella pinnatifida,Sticky Cheat Gily-Flower,Aliciella pinnatifida,Aliciella pinnatifida - Sticky Cheat Gily-Flower,FACU
Alisma gramineum,Narrow-Leaf Water-Plantain,Alisma gramineum,Alisma gramineum - Narrow-Leaf Water-Plantain,OBL
Alisma lanceolatum,Lance-Leaf Water-Plantain,Alisma lanceolatum,Alisma lanceolatum - Lance-Leaf Water-Plantain,OBL
Alisma triviale,Northern Water-Plantain,Alisma triviale,Alisma triviale - Northern Water-Plantain,OBL
Allenrolfea occidentalis,Iodinebush,Allenrolfea occidentalis,Allenrolfea occidentalis - Iodinebush,FACW
Alliaria petiolata,Garlic-Mustard,Alliaria petiolata,Alliaria petiolata - Garlic-Mustard,FACU
Allium bisceptrum,Aspen Onion,Allium bisceptrum,Allium bisceptrum - Aspen Onion,FACU
Allium cernuum,Nodding Onion,Allium cernuum,Allium cernuum - Nodding Onion,FACU
Allium douglasii,Douglas' Onion,Allium douglasii,Allium douglasii - Douglas' Onion,FAC
Allium geyeri,Geyer's Onion,Allium geyeri,Allium geyeri - Geyer's Onion,FACU
Allium hickmanii,Hickman's Onion,Allium hickmanii,Allium hickmanii - Hickman's Onion,FACU
Allium hyalinum,Glassy Onion,Allium hyalinum,Allium hyalinum - Glassy Onion,FACU
Allium lemmonii,Claybank Onion,Allium lemmonii,Allium lemmonii - Claybank Onion,FACU
Allium madidum,Swamp Onion,Allium madidum,Allium madidum - Swamp Onion,OBL
Allium schoenoprasum,Wild Chives,Allium schoenoprasum,Allium schoenoprasum - Wild Chives,FACW
Allium validum,Tall Swamp Onion,Allium validum,Allium validum - Tall Swamp Onion,OBL
Allium vineale,Crow Garlic,Allium vineale,Allium vineale - Crow Garlic,FACU
Allolepis texana,Texas-Salt,Allolepis texana,Allolepis texana - Texas-Salt,FAC
